protocol,population,scenario,view,timing,timing_label,model_type,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C,375,110,265,0.7110806174957118,0.505004147103206,0.6540308747855917,0.18507286242602808
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+F,375,110,265,0.7066209262435679,0.5231133058605835,0.6593481989708405,0.18493621985923053
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+FULL,375,110,265,0.6734133790737564,0.45170551022806305,0.6239279588336193,0.19409175260647407
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+N,375,110,265,0.6733447684391081,0.46140915295469265,0.6406518010291595,0.19882187320441122
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,F,375,110,265,0.4958490566037736,0.29061718765743666,0.5090909090909091,0.20755651553118673
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,FULL,375,110,265,0.5615094339622642,0.33860104882648867,0.581303602058319,0.20793774575141818
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,N,375,110,265,0.5684734133790738,0.36612451937175094,0.5792452830188679,0.20471276817926537
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C,375,110,265,0.7110806174957118,0.505004147103206,0.6540308747855917,0.18507286242602808
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+F,375,110,265,0.7609948542024014,0.5623821251782544,0.6946826758147513,0.17531068344454287
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+FULL,375,110,265,0.7823670668953688,0.5715113878073551,0.7425385934819897,0.16962938166306604
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+N,375,110,265,0.7478216123499143,0.5337422920245796,0.6807032590051458,0.17619813745565815
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,F,375,110,265,0.709982847341338,0.47146630335536543,0.6275300171526587,0.18949932602102657
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,FULL,375,110,265,0.6957118353344768,0.46871890988871356,0.6770154373927959,0.19156604226920512
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,N,375,110,265,0.6023327615780446,0.3799788621134216,0.6175814751286449,0.204630912266865
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C,375,110,265,0.7110806174957118,0.505004147103206,0.6540308747855917,0.18507286242602808
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+F,375,110,265,0.7826758147512864,0.5977383330409927,0.7078902229845626,0.16700082177086567
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+FULL,375,110,265,0.8060377358490567,0.6286261419051458,0.7531732418524871,0.15948573147397072
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+N,375,110,265,0.7515951972555746,0.5649920467120116,0.7097770154373928,0.17999927896510198
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,F,375,110,265,0.7119039451114924,0.47172008485116,0.6624356775300171,0.18729116093544868
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,FULL,375,110,265,0.7794854202401373,0.5514416839362469,0.71852487135506,0.17280890666135504
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,N,375,110,265,0.700754716981132,0.5098144874734452,0.6885934819897084,0.18843498814606283
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,375,110,265,0.7110806174957118,0.505004147103206,0.6540308747855917,0.18507286242602808
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,375,110,265,0.776295025728988,0.5860651299096762,0.7258147512864495,0.16884972445841656
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,375,110,265,0.7898456260720411,0.6569286901274731,0.7306174957118354,0.16351743943034877
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,375,110,265,0.7835334476843911,0.6395203602266187,0.740909090909091,0.16535945755400144
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,375,110,265,0.6818867924528301,0.4247692825924851,0.6426243567753002,0.1942929316984148
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,375,110,265,0.759073756432247,0.5551852076862688,0.7061749571183533,0.1809230586495787
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,375,110,265,0.7189365351629503,0.4821295116685834,0.7084048027444254,0.19084265992884625
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,384,113,271,0.6999640792868106,0.5362409397334289,0.6569408614440126,0.18450675014148835
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+B,384,113,271,0.6991476994415962,0.5242404088172156,0.6790810828462266,0.18614397657930812
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+D,384,113,271,0.714691571694478,0.5548106800296484,0.6768605296672436,0.18283074963553939
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+S,384,113,271,0.6945759723083956,0.5146053628840654,0.6392417463997648,0.186818673258954
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+FULL,384,113,271,0.7024132188224538,0.5402656797391855,0.6857264147862717,0.1822069393401825
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+N,384,113,271,0.690396107500898,0.515380785824076,0.6776115991248408,0.18928515475905214
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,F,384,113,271,0.47301048231721254,0.2751905489048604,0.4657610292917088,0.2077187639709939
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,FULL,384,113,271,0.6029781536753421,0.38159308091399924,0.5459458576886653,0.20392576492858305
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,N,384,113,271,0.6065049146066681,0.38754465702467034,0.5868628155308102,0.20338862595207527
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,C+F,384,113,271,0.7244228194494333,0.5129597553918616,0.6753910459458576,0.18174338653638814
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,C+FULL,384,113,271,0.7320314796068315,0.5384927683785099,0.6528916174117494,0.17885084398728632
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,C+N,384,113,271,0.7333703425529832,0.5642646372945813,0.6739378898213761,0.17624379282662309
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,F,384,113,271,0.4644548215393658,0.2794871665333931,0.46073212944518827,0.20859357241764345
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,FULL,384,113,271,0.4640629592136629,0.2829713608719764,0.5042451751951148,0.20865971962760232
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,rbf_svm,N,384,113,271,0.5118375077556085,0.3021546020949326,0.5064983835679064,0.20822432939683974
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F,384,113,271,0.7273944420860139,0.553238455759911,0.7108219312281618,0.18610597695695588
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+B,384,113,271,0.7508735264343794,0.557602273044671,0.7052868758776083,0.18006859749592838
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+D,384,113,271,0.7603108774450577,0.6092487996857726,0.710087189367469,0.1700670156201234
